商品名称,价格,发布用户,发布时间,商品链接,爬取时间
Why So Serious Dimoo 浮光之誕小丑系列,HK$150,s3audis3,14 分鐘前,https://www.carousell.com.hk/p/why-so-serious-dimoo-%E6%B5%AE%E5%85%89%E4%B9%8B%E8%AA%95%E5%B0%8F%E4%B8%91%E7%B3%BB%E5%88%97-1404657379/?t-id=B0C9go6L06_1763873843918&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=l0nG7jdRkbtOPeqY&t-referrer_search_query=dimoo&t-referrer_sort_by=popular&t-tap_index=0,2025/11/23 12:59
DIMOO shapes of nature 霧散 換 任何一隻,HK$0,adrianfung_820,49 分鐘前,https://www.carousell.com.hk/p/dimoo-shapes-of-nature-%E9%9C%A7%E6%95%A3-%E6%8F%9B-%E4%BB%BB%E4%BD%95%E4%B8%80%E9%9A%BB-1405742493/?t-id=B0C9go6L06_1763873843918&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=l0nG7jdRkbtOPeqY&t-referrer_search_query=dimoo&t-referrer_sort_by=popular&t-tap_index=1,2025/11/23 12:59
現貨 WHY SO SERIOUS 單售 浮光之誕 幽影小丑 銀霧小丑 提線木偶 全新 POP MART 公仔 鎖匙扣 Molly Dimoo,HK$150,jck_028_store,1 小時前,https://www.carousell.com.hk/p/%E7%8F%BE%E8%B2%A8-why-so-serious-%E5%96%AE%E5%94%AE-%E6%B5%AE%E5%85%89%E4%B9%8B%E8%AA%95-%E5%B9%BD%E5%BD%B1%E5%B0%8F%E4%B8%91-%E9%8A%80%E9%9C%A7%E5%B0%8F%E4%B8%91-%E6%8F%90%E7%B7%9A%E6%9C%A8%E5%81%B6-%E5%85%A8%E6%96%B0-pop-mart-%E5%85%AC%E4%BB%94-%E9%8E%96%E5%8C%99%E6%89%A3-molly-dimoo-1405740211/?t-id=B0C9go6L06_1763873843918&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=l0nG7jdRkbtOPeqY&t-referrer_search_query=dimoo&t-referrer_sort_by=popular&t-tap_index=2,2025/11/23 12:59
全新DIMOO新生日記系列-搪膠毛絨掛件 守護 指定款 有現貨 有購買紀錄 即場任驗 $160,$160 ,dadazz,1 小時前,https://www.carousell.com.hk/p/%E5%85%A8%E6%96%B0dimoo%E6%96%B0%E7%94%9F%E6%97%A5%E8%A8%98%E7%B3%BB%E5%88%97-%E6%90%AA%E8%86%A0%E6%AF%9B%E7%B5%A8%E6%8E%9B%E4%BB%B6-%E5%AE%88%E8%AD%B7-%E6%8C%87%E5%AE%9A%E6%AC%BE-%E6%9C%89%E7%8F%BE%E8%B2%A8-%E6%9C%89%E8%B3%BC%E8%B2%B7%E7%B4%80%E9%8C%84-%E5%8D%B3%E5%A0%B4%E4%BB%BB%E9%A9%97-160-1403242267/?t-id=B0C9go6L06_1763873843918&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=l0nG7jdRkbtOPeqY&t-referrer_search_query=dimoo&t-referrer_sort_by=popular&t-tap_index=3,2025/11/23 12:59
"售/換 Popmart WHY SO SERIOUS系列-搪膠毛絨掛件-Dimoo, Hacipupu",HK$190,aboypoh,2 小時前,https://www.carousell.com.hk/p/%E5%94%AE-%E6%8F%9B-popmart-why-so-serious%E7%B3%BB%E5%88%97-%E6%90%AA%E8%86%A0%E6%AF%9B%E7%B5%A8%E6%8E%9B%E4%BB%B6-dimoo-hacipupu-1405734245/?t-id=B0C9go6L06_1763873843918&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=l0nG7jdRkbtOPeqY&t-referrer_search_query=dimoo&t-referrer_sort_by=popular&t-tap_index=5,2025/11/23 12:59
🔥 大量現貨平過 Pop Mart原價🔥900好評門市交收❤️LABUBU 4.0 心底密碼 星星人 crybaby Dimoo Molly sp批發價錢,"HK$1,299",swiss.station,2 小時前,https://www.carousell.com.hk/p/%F0%9F%94%A5-%E5%A4%A7%E9%87%8F%E7%8F%BE%E8%B2%A8%E5%B9%B3%E9%81%8E-pop-mart%E5%8E%9F%E5%83%B9%F0%9F%94%A5900%E5%A5%BD%E8%A9%95%E9%96%80%E5%B8%82%E4%BA%A4%E6%94%B6%E2%9D%A4%EF%B8%8Flabubu-4-0-%E5%BF%83%E5%BA%95%E5%AF%86%E7%A2%BC-%E6%98%9F%E6%98%9F%E4%BA%BA-crybaby-dimoo-molly-sp%E6%89%B9%E7%99%BC%E5%83%B9%E9%8C%A2-1390902339/?t-id=B0C9go6L06_1763873843918&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=l0nG7jdRkbtOPeqY&t-referrer_search_query=dimoo&t-referrer_sort_by=popular&t-tap_index=6,2025/11/23 12:59
POP MART Disney 米奇 米妮 萌粒 Dimoo POP BEAN,HK$30,knickknackscollector,2 小時前,https://www.carousell.com.hk/p/pop-mart-disney-%E7%B1%B3%E5%A5%87-%E7%B1%B3%E5%A6%AE-%E8%90%8C%E7%B2%92-dimoo-pop-bean-1402429179/?t-id=B0C9go6L06_1763873843918&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=l0nG7jdRkbtOPeqY&t-referrer_search_query=dimoo&t-referrer_sort_by=popular&t-tap_index=7,2025/11/23 12:59
Popmart Dimoo Journal of Newlife Innocence,HK$120,softbake,4 小時前,https://www.carousell.com.hk/p/popmart-dimoo-journal-of-newlife-innocence-1403050229/?t-id=B0C9go6L06_1763873843918&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=l0nG7jdRkbtOPeqY&t-referrer_search_query=dimoo&t-referrer_sort_by=popular&t-tap_index=8,2025/11/23 12:59
【賣或換】DIMOO WORLD DISNEY 布魯托的房子,HK$69,iiwannasell,4 小時前,https://www.carousell.com.hk/p/%E3%80%90%E8%B3%A3%E6%88%96%E6%8F%9B%E3%80%91dimoo-world-disney-%E5%B8%83%E9%AD%AF%E6%89%98%E7%9A%84%E6%88%BF%E5%AD%90-1371515156/?t-id=B0C9go6L06_1763873843918&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=l0nG7jdRkbtOPeqY&t-referrer_search_query=dimoo&t-referrer_sort_by=popular&t-tap_index=9,2025/11/23 12:59
POP MART DIMOO World Crush on Coffee 耳機盒,HK$200,wkkray,4 小時前,https://www.carousell.com.hk/p/pop-mart-dimoo-world-crush-on-coffee-%E8%80%B3%E6%A9%9F%E7%9B%92-1401134598/?t-id=B0C9go6L06_1763873843918&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=l0nG7jdRkbtOPeqY&t-referrer_search_query=dimoo&t-referrer_sort_by=popular&t-tap_index=10,2025/11/23 12:59
