商品名称,价格,发布用户,发布时间,商品链接,爬取时间
labubu 凌晨一點 美夢時間,HK$90,lslssl,16 分鐘前,https://www.carousell.com.hk/p/labubu-%E5%87%8C%E6%99%A8%E4%B8%80%E9%BB%9E-%E7%BE%8E%E5%A4%A2%E6%99%82%E9%96%93-1405617153/?t-id=Dg8pv0XwWo_1763803800169&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=GFPyBKWWGNFP63Cq&t-referrer_search_query=labubu&t-referrer_sort_by=popular&t-tap_index=0,2025/11/22 17:31
POP MART Labubu 金蛇報喜 金蛇賀歲 毛絨門掛,HK$260,furla_saito,17 分鐘前,https://www.carousell.com.hk/p/pop-mart-labubu-%E9%87%91%E8%9B%87%E5%A0%B1%E5%96%9C-%E9%87%91%E8%9B%87%E8%B3%80%E6%AD%B2-%E6%AF%9B%E7%B5%A8%E9%96%80%E6%8E%9B-1394815185/?t-id=Dg8pv0XwWo_1763803800169&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=GFPyBKWWGNFP63Cq&t-referrer_search_query=labubu&t-referrer_sort_by=popular&t-tap_index=1,2025/11/22 17:31
【好評過百/誠信賣家】THE MONSTER - 全新未拆盒機款/拆盒未拆袋款/禮物首選/心底密碼系列/mini labubu 4.0/ A-M & N-Z （價錢優惠請睇詳情）,HK$99,kkz_store,17 分鐘前,https://www.carousell.com.hk/p/%E3%80%90%E5%A5%BD%E8%A9%95%E9%81%8E%E7%99%BE-%E8%AA%A0%E4%BF%A1%E8%B3%A3%E5%AE%B6%E3%80%91the-monster-%E5%85%A8%E6%96%B0%E6%9C%AA%E6%8B%86%E7%9B%92%E6%A9%9F%E6%AC%BE-%E6%8B%86%E7%9B%92%E6%9C%AA%E6%8B%86%E8%A2%8B%E6%AC%BE-%E7%A6%AE%E7%89%A9%E9%A6%96%E9%81%B8-%E5%BF%83%E5%BA%95%E5%AF%86%E7%A2%BC%E7%B3%BB%E5%88%97-mini-labubu-4-0-a-m-n-z-%EF%BC%88%E5%83%B9%E9%8C%A2%E5%84%AA%E6%83%A0%E8%AB%8B%E7%9D%87%E8%A9%B3%E6%83%85%EF%BC%89-1389372538/?t-id=Dg8pv0XwWo_1763803800169&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=GFPyBKWWGNFP63Cq&t-referrer_search_query=labubu&t-referrer_sort_by=popular&t-tap_index=2,2025/11/22 17:31
Pop Mart LABUBU 全新 荔枝莓莓 盲盒 The Monsters Exciting Macaron Lychee Berry,HK$140,hysminime,20 分鐘前,https://www.carousell.com.hk/p/pop-mart-labubu-%E5%85%A8%E6%96%B0-%E8%8D%94%E6%9E%9D%E8%8E%93%E8%8E%93-%E7%9B%B2%E7%9B%92-the-monsters-exciting-macaron-lychee-berry-1405616263/?t-id=Dg8pv0XwWo_1763803800169&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=GFPyBKWWGNFP63Cq&t-referrer_search_query=labubu&t-referrer_sort_by=popular&t-tap_index=3,2025/11/22 17:31
POPMART Labubu 坐坐,HK$120,kaka158936,22 分鐘前,https://www.carousell.com.hk/p/popmart-labubu-%E5%9D%90%E5%9D%90-1404441488/?t-id=Dg8pv0XwWo_1763803800169&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=GFPyBKWWGNFP63Cq&t-referrer_search_query=labubu&t-referrer_sort_by=popular&t-tap_index=5,2025/11/22 17:31
Labubu 4.0 mini 隱藏 愛心感嘆號,HK$350,leeeeee09,34 分鐘前,https://www.carousell.com.hk/p/labubu-4-0-mini-%E9%9A%B1%E8%97%8F-%E6%84%9B%E5%BF%83%E6%84%9F%E5%98%86%E8%99%9F-1405613268/?t-id=Dg8pv0XwWo_1763803800169&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=GFPyBKWWGNFP63Cq&t-referrer_search_query=labubu&t-referrer_sort_by=popular&t-tap_index=7,2025/11/22 17:31
POP MART Almost系列 Labubu 隱藏版,HK$260,supertek220-28722,29 分鐘前,https://www.carousell.com.hk/p/pop-mart-almost%E7%B3%BB%E5%88%97-labubu-%E9%9A%B1%E8%97%8F%E7%89%88-1391390413/?t-id=Dg8pv0XwWo_1763803800169&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=GFPyBKWWGNFP63Cq&t-referrer_search_query=labubu&t-referrer_sort_by=popular&t-tap_index=8,2025/11/22 17:31
Labubu凌晨一點,HK$50,winter_wing,37 分鐘前,https://www.carousell.com.hk/p/labubu%E5%87%8C%E6%99%A8%E4%B8%80%E9%BB%9E-1405612663/?t-id=Dg8pv0XwWo_1763803800169&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=GFPyBKWWGNFP63Cq&t-referrer_search_query=labubu&t-referrer_sort_by=popular&t-tap_index=9,2025/11/22 17:31
The Monsters Space Adventures Labubu 盲盒（女巫）,HK$120,ahcho1803,45 分鐘前,https://www.carousell.com.hk/p/the-monsters-space-adventures-labubu-%E7%9B%B2%E7%9B%92%EF%BC%88%E5%A5%B3%E5%B7%AB%EF%BC%89-1405611125/?t-id=Dg8pv0XwWo_1763803800169&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=GFPyBKWWGNFP63Cq&t-referrer_search_query=labubu&t-referrer_sort_by=popular&t-tap_index=10,2025/11/22 17:31
Labubu 3.0 前方高能 忠誠 齊盒卡,HK$95,mikec11,2 小時前,https://www.carousell.com.hk/p/labubu-3-0-%E5%89%8D%E6%96%B9%E9%AB%98%E8%83%BD-%E5%BF%A0%E8%AA%A0-%E9%BD%8A%E7%9B%92%E5%8D%A1-1405595037/?t-id=Dg8pv0XwWo_1763803800169&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=GFPyBKWWGNFP63Cq&t-referrer_search_query=labubu&t-referrer_sort_by=popular&t-tap_index=11,2025/11/22 17:31
