商品名称,价格,发布用户,发布时间,商品链接,爬取时间
Molly Peekaboo 白色,HK$340,fifiggg,9 分鐘前,https://www.carousell.com.hk/p/molly-peekaboo-%E7%99%BD%E8%89%B2-1388529582/?t-id=437U-oL3iL_1763869219253&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=DbGFu1iIntyjy6w7&t-referrer_search_query=molly&t-referrer_sort_by=popular&t-tap_index=0,2025/11/23 11:43
Molly Pocket Friends 毛毛熊公仔,HK$140,xdhhhh,23 分鐘前,https://www.carousell.com.hk/p/molly-pocket-friends-%E6%AF%9B%E6%AF%9B%E7%86%8A%E5%85%AC%E4%BB%94-1405733463/?t-id=437U-oL3iL_1763869219253&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=DbGFu1iIntyjy6w7&t-referrer_search_query=molly&t-referrer_sort_by=popular&t-tap_index=1,2025/11/23 11:43
POP MART Baby Molly 口袋朋友系列 搪膠毛絨,HK$95,life123_beauty,41 分鐘前,https://www.carousell.com.hk/p/pop-mart-baby-molly-%E5%8F%A3%E8%A2%8B%E6%9C%8B%E5%8F%8B%E7%B3%BB%E5%88%97-%E6%90%AA%E8%86%A0%E6%AF%9B%E7%B5%A8-1405730433/?t-id=437U-oL3iL_1763869219253&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=DbGFu1iIntyjy6w7&t-referrer_search_query=molly&t-referrer_sort_by=popular&t-tap_index=2,2025/11/23 11:43
Molly Why So Serious 盲盒,"HK$1,800",alexandrub51774,51 分鐘前,https://www.carousell.com.hk/p/molly-why-so-serious-%E7%9B%B2%E7%9B%92-1404608981/?t-id=437U-oL3iL_1763869219253&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=DbGFu1iIntyjy6w7&t-referrer_search_query=molly&t-referrer_sort_by=popular&t-tap_index=3,2025/11/23 11:43
Popmart Kennyswork Molly 西遊記 西遊記 (全12款) 不連隱藏,HK$800,chunchuntoys,54 分鐘前,https://www.carousell.com.hk/p/popmart-kennyswork-molly-%E8%A5%BF%E9%81%8A%E8%A8%98-%E8%A5%BF%E9%81%8A%E8%A8%98-%E5%85%A812%E6%AC%BE-%E4%B8%8D%E9%80%A3%E9%9A%B1%E8%97%8F-197307488/?t-id=437U-oL3iL_1763869219253&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=DbGFu1iIntyjy6w7&t-referrer_search_query=molly&t-referrer_sort_by=popular&t-tap_index=5,2025/11/23 11:43
🔥 大量現貨平過 Pop Mart原價🔥900好評門市交收❤️LABUBU 4.0 心底密碼 星星人 crybaby Dimoo Molly sp批發價錢,"HK$1,299",swiss.station,57 分鐘前,https://www.carousell.com.hk/p/%F0%9F%94%A5-%E5%A4%A7%E9%87%8F%E7%8F%BE%E8%B2%A8%E5%B9%B3%E9%81%8E-pop-mart%E5%8E%9F%E5%83%B9%F0%9F%94%A5900%E5%A5%BD%E8%A9%95%E9%96%80%E5%B8%82%E4%BA%A4%E6%94%B6%E2%9D%A4%EF%B8%8Flabubu-4-0-%E5%BF%83%E5%BA%95%E5%AF%86%E7%A2%BC-%E6%98%9F%E6%98%9F%E4%BA%BA-crybaby-dimoo-molly-sp%E6%89%B9%E7%99%BC%E5%83%B9%E9%8C%A2-1390902339/?t-id=437U-oL3iL_1763869219253&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=DbGFu1iIntyjy6w7&t-referrer_search_query=molly&t-referrer_sort_by=popular&t-tap_index=6,2025/11/23 11:43
POP BEAN 手機掛繩 Molly/Hacipupu,HK$65,lbe12,60 分鐘前,https://www.carousell.com.hk/p/pop-bean-%E6%89%8B%E6%A9%9F%E6%8E%9B%E7%B9%A9-molly-hacipupu-1401108243/?t-id=437U-oL3iL_1763869219253&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=DbGFu1iIntyjy6w7&t-referrer_search_query=molly&t-referrer_sort_by=popular&t-tap_index=7,2025/11/23 11:43
mega_space_molly,"HK$1,280",mega_space_molly,1 小時前,https://www.carousell.com.hk/p/molly%E7%9D%A1%E8%93%AE%E5%85%AC%E4%B8%BB400-1389258811/?t-id=437U-oL3iL_1763869219253&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=DbGFu1iIntyjy6w7&t-referrer_search_query=molly&t-referrer_sort_by=popular&t-tap_index=8,2025/11/23 11:43
慶祝這一刻 萌粒 隱藏 molly 優雅八音盒 hacipupu 獎勵一顆糖 盲盒 popmart 泡泡瑪特 公仔 確認款,HK$20,threebearsss,3 小時前,https://www.carousell.com.hk/p/%E6%85%B6%E7%A5%9D%E9%80%99%E4%B8%80%E5%88%BB-%E8%90%8C%E7%B2%92-%E9%9A%B1%E8%97%8F-molly-%E5%84%AA%E9%9B%85%E5%85%AB%E9%9F%B3%E7%9B%92-hacipupu-%E7%8D%8E%E5%8B%B5%E4%B8%80%E9%A1%86%E7%B3%96-%E7%9B%B2%E7%9B%92-popmart-%E6%B3%A1%E6%B3%A1%E7%91%AA%E7%89%B9-%E5%85%AC%E4%BB%94-%E7%A2%BA%E8%AA%8D%E6%AC%BE-1330508117/?t-id=437U-oL3iL_1763869219253&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=DbGFu1iIntyjy6w7&t-referrer_search_query=molly&t-referrer_sort_by=popular&t-tap_index=9,2025/11/23 11:43
POPMART molly,HK$70,1227_b,6 小時前,https://www.carousell.com.hk/p/popmart-molly-1405707089/?t-id=437U-oL3iL_1763869219253&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=DbGFu1iIntyjy6w7&t-referrer_search_query=molly&t-referrer_sort_by=popular&t-tap_index=10,2025/11/23 11:43
