商品名称,价格,发布用户,发布时间,商品链接,爬取时间
SKULLPANDA 光织园系列毛绒钥匙扣,HK$129,carriema1239521,12 分鐘前,https://www.carousell.com.hk/p/skullpanda-%E5%85%89%E7%BB%87%E5%9B%AD%E7%B3%BB%E5%88%97%E6%AF%9B%E7%BB%92%E9%92%A5%E5%8C%99%E6%89%A3-1405886466/?t-id=zH05iL9dXu_1763915947420&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=vlpYsg_XmubViGx7&t-referrer_search_query=skullpanda&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=0,2025/11/24 0:40
（出/換）Skullpanda 餐具系列盲盒,HK$75,emily4_18.fgh,1 小時前,https://www.carousell.com.hk/p/%EF%BC%88%E5%87%BA-%E6%8F%9B%EF%BC%89skullpanda-%E9%A4%90%E5%85%B7%E7%B3%BB%E5%88%97%E7%9B%B2%E7%9B%92-1405878921/?t-id=zH05iL9dXu_1763915947420&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=vlpYsg_XmubViGx7&t-referrer_search_query=skullpanda&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=1,2025/11/24 0:40
Pop Mart 15 週年 ～ Skullpanda 帷幕之下,HK$110,mywk15,2 小時前,https://www.carousell.com.hk/p/pop-mart-15-%E9%80%B1%E5%B9%B4-%EF%BD%9E-skullpanda-%E5%B8%B7%E5%B9%95%E4%B9%8B%E4%B8%8B-1405864830/?t-id=zH05iL9dXu_1763915947420&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=vlpYsg_XmubViGx7&t-referrer_search_query=skullpanda&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=2,2025/11/24 0:40
🥂 Pop Mart 盲盒 Skullpanda The Feast Begins 餐桌系列 餐巾的沉默 / 暖蝸的慵懶 / 茶匙的秘境 /方糖的落跑 / 紅酒的傾瀉🥂 現貨,HK$120,lydiachulydia,2 小時前,https://www.carousell.com.hk/p/%F0%9F%A5%82-pop-mart-%E7%9B%B2%E7%9B%92-skullpanda-the-feast-begins-%E9%A4%90%E6%A1%8C%E7%B3%BB%E5%88%97-%E9%A4%90%E5%B7%BE%E7%9A%84%E6%B2%89%E9%BB%98-%E6%9A%96%E8%9D%B8%E7%9A%84%E6%85%B5%E6%87%B6-%E8%8C%B6%E5%8C%99%E7%9A%84%E7%A7%98%E5%A2%83-%E6%96%B9%E7%B3%96%E7%9A%84%E8%90%BD%E8%B7%91-%E7%B4%85%E9%85%92%E7%9A%84%E5%82%BE%E7%80%89%F0%9F%A5%82-%E7%8F%BE%E8%B2%A8-1402670130/?t-id=zH05iL9dXu_1763915947420&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=vlpYsg_XmubViGx7&t-referrer_search_query=skullpanda&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=3,2025/11/24 0:40
popmart skullpanda龍年限定sp,HK$170,brown_89,3 小時前,https://www.carousell.com.hk/p/popmart-skullpanda%E9%BE%8D%E5%B9%B4%E9%99%90%E5%AE%9Asp-1405862015/?t-id=zH05iL9dXu_1763915947420&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=vlpYsg_XmubViGx7&t-referrer_search_query=skullpanda&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=5,2025/11/24 0:40
[剩一] 絕版 歐洲限定 POP MART SKULLPANDA Plush 6kHz 吊飾,HK$420,hellomememi,2 小時前,https://www.carousell.com.hk/p/%E5%89%A9%E4%B8%80-%E7%B5%95%E7%89%88-%E6%AD%90%E6%B4%B2%E9%99%90%E5%AE%9A-pop-mart-skullpanda-plush-6khz-%E5%90%8A%E9%A3%BE-1395215905/?t-id=zH05iL9dXu_1763915947420&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=vlpYsg_XmubViGx7&t-referrer_search_query=skullpanda&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=7,2025/11/24 0:40
POP MART SKULLPANDA The Duality (Black),HK$78,ttsng48875,4 小時前,https://www.carousell.com.hk/p/pop-mart-skullpanda-the-duality-black-1405841406/?t-id=zH05iL9dXu_1763915947420&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=vlpYsg_XmubViGx7&t-referrer_search_query=skullpanda&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=8,2025/11/24 0:40
Pop Mart skullpanda 系列 盲盒,HK$150,yipbella106,5 小時前,https://www.carousell.com.hk/p/pop-mart-skullpanda-%E7%B3%BB%E5%88%97-%E7%9B%B2%E7%9B%92-1405832310/?t-id=zH05iL9dXu_1763915947420&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=vlpYsg_XmubViGx7&t-referrer_search_query=skullpanda&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=9,2025/11/24 0:40
Popmart Skullpanda you found me 睏睏睡魔,HK$160,happyshoppingkk,9 小時前,https://www.carousell.com.hk/p/popmart-skullpanda-you-found-me-%E7%9D%8F%E7%9D%8F%E7%9D%A1%E9%AD%94-1405790967/?t-id=zH05iL9dXu_1763915947420&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=vlpYsg_XmubViGx7&t-referrer_search_query=skullpanda&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=10,2025/11/24 0:40
Skullpanda 2.0 光織園系列 POP MART,HK$120,yuansui,16 小時前,https://www.carousell.com.hk/p/skullpanda-2-0-%E5%85%89%E7%B9%94%E5%9C%92%E7%B3%BB%E5%88%97-pop-mart-1405713576/?t-id=zH05iL9dXu_1763915947420&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=vlpYsg_XmubViGx7&t-referrer_search_query=skullpanda&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=11,2025/11/24 0:40
