商品名称,价格,发布用户,发布时间,商品链接,爬取时间,清洗名称,匹配官方名称,匹配系列,匹配图片URL,匹配度,是否匹配成功,匹配方式
labubu 凌晨一点 美夢時間,HK$90,lslssl,16 分鐘前,https://www.carousell.com.hk/p/labubu-%E5%87%8C%E6%99%A8%E4%B8%80%E9%BB%9E-%E7%BE%8E%E5%A4%A2%E6%99%82%E9%96%93-1405617153/?t-id=Dg8pv0XwWo_1763803800169&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=GFPyBKWWGNFP63Cq&t-referrer_search_query=labubu&t-referrer_sort_by=popular&t-tap_index=0,2025/11/22 17:31,凌晨一点 美夢時間,广场焦点,看不见我系列2024.04,https://cdn.labubu.directory/labubu-directory/images/519fe2c248a22a394ddc5c916b323bea.png,0.151,TRUE,TF-IDF匹配
POP MART Labubu 金蛇報喜 金蛇賀歲 毛絨門掛,HK$260,furla_saito,17 分鐘前,https://www.carousell.com.hk/p/pop-mart-labubu-%E9%87%91%E8%9B%87%E5%A0%B1%E5%96%9C-%E9%87%91%E8%9B%87%E8%B3%80%E6%AD%B2-%E6%AF%9B%E7%B5%A8%E9%96%80%E6%8E%9B-1394815185/?t-id=Dg8pv0XwWo_1763803800169&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=GFPyBKWWGNFP63Cq&t-referrer_search_query=labubu&t-referrer_sort_by=popular&t-tap_index=1,2025/11/22 17:31,金蛇報喜 金蛇賀歲 毛絨門掛,金闪,迷你ZIMOMO系列2代2019.08,https://cdn.labubu.directory/labubu-directory/images/d9ef7853a99af0359f7c52bb4f2d0c6f.jpg,0.305,TRUE,TF-IDF匹配
【好評過百/誠信賣家】THE MONSTER - 全新未拆盒機款/拆盒未拆袋款/礼物首選/心底密碼系列/mini labubu 4.0/ A-M & N-Z （價錢優惠請睇詳情）,HK$99,kkz_store,17 分鐘前,https://www.carousell.com.hk/p/%E3%80%90%E5%A5%BD%E8%A9%95%E9%81%8E%E7%99%BE-%E8%AA%A0%E4%BF%A1%E8%B3%A3%E5%AE%B6%E3%80%91the-monster-%E5%85%A8%E6%96%B0%E6%9C%AA%E6%8B%86%E7%9B%92%E6%A9%9F%E6%AC%BE-%E6%8B%86%E7%9B%92%E6%9C%AA%E6%8B%86%E8%A2%8B%E6%AC%BE-%E7%A6%AE%E7%89%A9%E9%A6%96%E9%81%B8-%E5%BF%83%E5%BA%95%E5%AF%86%E7%A2%BC%E7%B3%BB%E5%88%97-mini-labubu-4-0-a-m-n-z-%EF%BC%88%E5%83%B9%E9%8C%A2%E5%84%AA%E6%83%A0%E8%AB%8B%E7%9D%87%E8%A9%B3%E6%83%85%EF%BC%89-1389372538/?t-id=Dg8pv0XwWo_1763803800169&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=GFPyBKWWGNFP63Cq&t-referrer_search_query=labubu&t-referrer_sort_by=popular&t-tap_index=2,2025/11/22 17:31,好評過百誠信賣家the - 全新未拆盒機款拆盒未拆袋款礼物首選心底密碼系列mini 4.0 a-m n-z 價錢優惠請睇詳情,葡萄,水果系列2021.12,https://cdn.labubu.directory/labubu-directory/images/c1a363377acd1c2586f573d8dba4c152.png,0.218,TRUE,TF-IDF匹配
Pop Mart LABUBU 全新 荔枝莓莓 盲盒 The Monsters Exciting Macaron Lychee Berry,HK$140,hysminime,20 分鐘前,https://www.carousell.com.hk/p/pop-mart-labubu-%E5%85%A8%E6%96%B0-%E8%8D%94%E6%9E%9D%E8%8E%93%E8%8E%93-%E7%9B%B2%E7%9B%92-the-monsters-exciting-macaron-lychee-berry-1405616263/?t-id=Dg8pv0XwWo_1763803800169&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=GFPyBKWWGNFP63Cq&t-referrer_search_query=labubu&t-referrer_sort_by=popular&t-tap_index=3,2025/11/22 17:31,荔枝莓莓 exciting macaron lychee berry,荔枝莓莓,心动马卡龙搪胶脸系列2023.10,https://cdn.labubu.directory/labubu-directory/images/8fb91577612a617d1c8a598a9fcffad7.png,0.541,TRUE,TF-IDF匹配
POPMART Labubu 坐坐,HK$120,kaka158936,22 分鐘前,https://www.carousell.com.hk/p/popmart-labubu-%E5%9D%90%E5%9D%90-1404441488/?t-id=Dg8pv0XwWo_1763803800169&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=GFPyBKWWGNFP63Cq&t-referrer_search_query=labubu&t-referrer_sort_by=popular&t-tap_index=5,2025/11/22 17:31,坐坐,隐藏款-森林坐坐,精灵森林派对系列2023.09,https://cdn.labubu.directory/labubu-directory/images/2bf5bcd6939d7b00125c9349cdfcfa41.png,0.481,TRUE,TF-IDF匹配
Labubu 4.0 mini 隱藏 爱心感嘆號,HK$350,leeeeee09,34 分鐘前,https://www.carousell.com.hk/p/labubu-4-0-mini-%E9%9A%B1%E8%97%8F-%E6%84%9B%E5%BF%83%E6%84%9F%E5%98%86%E8%99%9F-1405613268/?t-id=Dg8pv0XwWo_1763803800169&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=GFPyBKWWGNFP63Cq&t-referrer_search_query=labubu&t-referrer_sort_by=popular&t-tap_index=7,2025/11/22 17:31,4.0 mini 隱藏 爱心感嘆號,爱是陪伴,心愿指尖系列2023.08,https://cdn.labubu.directory/labubu-directory/images/1e55ef5314ee71950f3ab76d27d6bb3d.png,0.258,TRUE,TF-IDF匹配
Labubu凌晨一点,HK$50,winter_wing,37 分鐘前,https://www.carousell.com.hk/p/labubu%E5%87%8C%E6%99%A8%E4%B8%80%E9%BB%9E-1405612663/?t-id=Dg8pv0XwWo_1763803800169&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=GFPyBKWWGNFP63Cq&t-referrer_search_query=labubu&t-referrer_sort_by=popular&t-tap_index=9,2025/11/22 17:31,labubu凌晨一点,Labubu,Labubu 快乐万圣节派对系列2024.10,https://cdn.labubu.directory/labubu-directory/images/9f976f2c8e9c9c338a2bba9a6ba13f4b.jpg,0.467,TRUE,TF-IDF匹配
The Monsters Space Adventures Labubu 盲盒（女巫）,HK$120,ahcho1803,45 分鐘前,https://www.carousell.com.hk/p/the-monsters-space-adventures-labubu-%E7%9B%B2%E7%9B%92%EF%BC%88%E5%A5%B3%E5%B7%AB%EF%BC%89-1405611125/?t-id=Dg8pv0XwWo_1763803800169&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=GFPyBKWWGNFP63Cq&t-referrer_search_query=labubu&t-referrer_sort_by=popular&t-tap_index=10,2025/11/22 17:31,space adventures 盲盒女巫,女巫,怪物嘉年华系列2019.10,https://cdn.labubu.directory/labubu-directory/images/752a2d12864ae230a99ca42cd7bafa48.jpeg,0.234,TRUE,TF-IDF匹配
Labubu 3.0 前方高能 忠誠 齊盒卡,HK$95,mikec11,2 小時前,https://www.carousell.com.hk/p/labubu-3-0-%E5%89%8D%E6%96%B9%E9%AB%98%E8%83%BD-%E5%BF%A0%E8%AA%A0-%E9%BD%8A%E7%9B%92%E5%8D%A1-1405595037/?t-id=Dg8pv0XwWo_1763803800169&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=GFPyBKWWGNFP63Cq&t-referrer_search_query=labubu&t-referrer_sort_by=popular&t-tap_index=11,2025/11/22 17:31,3.0 前方高能 忠誠 齊盒卡,忠诚,前方高能系列-搪胶毛绒挂件2025.04,https://cdn.labubu.directory/labubu-directory/images/38d08a74fb18c1a7da1fdb3bc13581e4.png,0.304,TRUE,TF-IDF匹配
POP MART The Monsters Labubu 坐坐派對,HK$120,applepiie_,39 分鐘前,https://www.carousell.com.hk/p/pop-mart-the-monsters-labubu-%E5%9D%90%E5%9D%90%E6%B4%BE%E5%B0%8D-1397749805/?t-id=Dg8pv0XwWo_1763803800169&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=GFPyBKWWGNFP63Cq&t-referrer_search_query=labubu&t-referrer_sort_by=popular&t-tap_index=12,2025/11/22 17:31,坐坐派對,隐藏款-森林坐坐,精灵森林派对系列2023.09,https://cdn.labubu.directory/labubu-directory/images/2bf5bcd6939d7b00125c9349cdfcfa41.png,0.224,TRUE,TF-IDF匹配
